OrderID,CustomerName,City,Product,Category,Quantity,Price,TotalAmount
1001,Karan,Bangalore,Mobile,Electronics,3,24106,72318
1002,Sneha,Hyderabad,Smartwatch,Electronics,4,48866,195464
1003,Amit,Chennai,Smartwatch,Electronics,2,16124,32248
1004,Karan,Bangalore,Smartwatch,Electronics,1,39679,39679
1005,Rahul,Delhi,Laptop,Electronics,4,41342,165368
1006,Riya,Hyderabad,Smartwatch,Electronics,1,10852,10852
1007,Amit,Chennai,Tablet,Electronics,1,31385,31385
1008,Amit,Delhi,Tablet,Electronics,1,15503,15503
1009,Karan,Delhi,Headphones,Electronics,2,9723,19446
1010,Priya,Delhi,Smartwatch,Accessories,3,31933,95799
1011,Rahul,Delhi,Smartwatch,Electronics,3,13218,39654
1012,Karan,Bangalore,Mobile,Accessories,4,1815,7260
1013,Rahul,Bangalore,Laptop,Accessories,2,22053,44106
1014,Rahul,Bangalore,Headphones,Accessories,3,25182,75546
1015,Riya,Chennai,Smartwatch,Electronics,4,19964,79856
1016,Amit,Chennai,Mobile,Accessories,4,42204,168816
1017,Sneha,Chennai,Laptop,Accessories,1,31919,31919
1018,Riya,Mumbai,Headphones,Accessories,2,14267,28534
1019,Riya,Chennai,Headphones,Electronics,3,6966,20898
1020,Rahul,Bangalore,Smartwatch,Accessories,2,31528,63056
1021,Neha,Bangalore,Headphones,Electronics,2,48453,96906
1022,Amit,Mumbai,Mobile,Accessories,3,38358,115074
1023,Priya,Mumbai,Headphones,Accessories,3,4740,14220
1024,Riya,Chennai,Tablet,Electronics,2,31959,63918
1025,Sneha,Hyderabad,Mobile,Electronics,4,25896,103584
1026,Neha,Mumbai,Laptop,Accessories,2,17295,34590
1027,Neha,Delhi,Laptop,Accessories,3,25189,75567
1028,Priya,Bangalore,Smartwatch,Accessories,2,15410,30820
1029,Riya,Delhi,Smartwatch,Electronics,3,2946,8838
1030,Sneha,Bangalore,Tablet,Electronics,4,3846,15384
1031,Amit,Bangalore,Laptop,Accessories,2,45679,91358
1032,Arjun,Mumbai,Laptop,Accessories,4,49737,198948
1033,Sneha,Mumbai,Laptop,Electronics,2,41017,82034
1034,Priya,Delhi,Laptop,Electronics,2,4642,9284
1035,Neha,Bangalore,Headphones,Accessories,3,16570,49710
1036,Amit,Delhi,Mobile,Electronics,1,47455,47455
1037,Sneha,Hyderabad,Mobile,Accessories,3,7587,22761
1038,Arjun,Delhi,Tablet,Electronics,2,24252,48504
1039,Arjun,Chennai,Headphones,Accessories,1,16135,16135
1040,Rahul,Delhi,Laptop,Accessories,1,22718,22718
1041,Rahul,Chennai,Laptop,Accessories,4,32373,129492
1042,Karan,Chennai,Smartwatch,Electronics,2,49075,98150
1043,Priya,Chennai,Smartwatch,Accessories,3,43465,130395
1044,Riya,Hyderabad,Tablet,Accessories,1,45539,45539
1045,Sneha,Delhi,Laptop,Electronics,1,15224,15224
1046,Sneha,Delhi,Tablet,Accessories,3,31851,95553
1047,Riya,Hyderabad,Headphones,Accessories,3,31933,95799
1048,Karan,Bangalore,Mobile,Accessories,1,9761,9761
1049,Neha,Mumbai,Laptop,Electronics,3,13979,41937
1050,Neha,Delhi,Headphones,Electronics,4,16304,65216
1051,Karan,Mumbai,Laptop,Electronics,1,27745,27745
1052,Neha,Hyderabad,Smartwatch,Electronics,4,45601,182404
1053,Rahul,Bangalore,Tablet,Accessories,2,13327,26654
1054,Sneha,Bangalore,Smartwatch,Electronics,4,42868,171472
1055,Karan,Bangalore,Mobile,Electronics,3,45200,135600
1056,Sneha,Hyderabad,Smartwatch,Electronics,1,49916,49916
1057,Riya,Chennai,Laptop,Accessories,4,12540,50160
1058,Arjun,Chennai,Smartwatch,Accessories,3,19977,59931
1059,Rahul,Mumbai,Laptop,Accessories,3,16627,49881
1060,Amit,Chennai,Mobile,Electronics,4,21682,86728
1061,Rahul,Chennai,Smartwatch,Accessories,1,26549,26549
1062,Karan,Bangalore,Tablet,Accessories,4,25027,100108
1063,Amit,Bangalore,Tablet,Electronics,2,12973,25946
1064,Arjun,Mumbai,Tablet,Accessories,4,17209,68836
1065,Karan,Delhi,Smartwatch,Electronics,4,34474,137896
1066,Priya,Mumbai,Smartwatch,Electronics,1,42964,42964
1067,Sneha,Mumbai,Smartwatch,Accessories,4,14214,56856
1068,Arjun,Hyderabad,Laptop,Electronics,3,34708,104124
1069,Sneha,Hyderabad,Mobile,Electronics,1,32445,32445
1070,Neha,Mumbai,Tablet,Electronics,3,22068,66204
1071,Priya,Mumbai,Laptop,Electronics,1,9647,9647
1072,Priya,Mumbai,Tablet,Electronics,2,16767,33534
